bookId;tingId;opcode;optype;opcode_str;optype_str;value;offset;instrIndex;instructionCount
"00035";"16502";0x15;0x02;"callid";"RR";0x5F;0x0000;0x0000;0x0003
"00035";"18000";0x15;0x02;"callid";"RR";0x59;0x000A;0x0002;0x0006
"00035";"18001";0x15;0x02;"callid";"RR";0x59;0x000A;0x0002;0x0006
"00038";"15001";0x19;0x00;"0x19";"None";0x00;0x0044;0x000C;0x000E
"00050";"15185";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15186";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15187";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15188";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15189";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15190";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15191";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15192";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15193";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15194";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15195";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15196";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15197";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15198";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15199";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15200";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15201";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15202";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15203";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15204";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15205";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15206";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
"00050";"15207";0x00;0x00;"end";"None";0x05;0x001C;0x0006;0x000C
