bookId;tingId;opcode;optype;opcode_str;optype_str;offset
"00022";"15505";0x14;0x00;"call";"None";0x00000006
"00022";"18010";0x14;0x00;"call";"None";0x00000064
"00022";"18023";0x14;0x00;"call";"None";0x000000A8
"00022";"18024";0x14;0x00;"call";"None";0x000000DA
"00022";"18025";0x14;0x00;"call";"None";0x00000028
"00022";"18026";0x14;0x00;"call";"None";0x000000D6
"00022";"19000";0x14;0x00;"call";"None";0x00000498
"00023";"15505";0x14;0x00;"call";"None";0x00000006
"00023";"18010";0x14;0x00;"call";"None";0x00000064
"00023";"18023";0x14;0x00;"call";"None";0x000000A8
"00023";"18024";0x14;0x00;"call";"None";0x000000DA
"00023";"18025";0x14;0x00;"call";"None";0x00000028
"00023";"18026";0x14;0x00;"call";"None";0x000000D6
"00023";"19000";0x14;0x00;"call";"None";0x00000498
"00035";"16502";0x15;0x02;"callid";"RR";0x00000000
"00035";"17001";0x14;0x00;"call";"None";0x00000004
"00035";"18000";0x15;0x02;"callid";"RR";0x0000000A
"00035";"18001";0x15;0x02;"callid";"RR";0x0000000A
"00035";"19001";0x14;0x00;"call";"None";0x00000004
"00035";"19101";0x14;0x00;"call";"None";0x00000004
"00035";"19102";0x14;0x00;"call";"None";0x00000004
"00035";"50000";0x14;0x00;"call";"None";0x00000004
"00041";"15900";0x14;0x00;"call";"None";0x000002BC
"00041";"15901";0x14;0x00;"call";"None";0x00000098
"00041";"15902";0x14;0x00;"call";"None";0x00000066
"00041";"16901";0x14;0x00;"call";"None";0x0000007C
"00041";"16902";0x14;0x00;"call";"None";0x0000006C
"00041";"17900";0x14;0x00;"call";"None";0x000003C8
"00041";"17901";0x14;0x00;"call";"None";0x00000092
"00041";"17902";0x14;0x00;"call";"None";0x00000066
"00041";"18900";0x14;0x00;"call";"None";0x00000284
"00041";"19900";0x14;0x00;"call";"None";0x000002D2
"00041";"19901";0x14;0x00;"call";"None";0x00000092
"00041";"19902";0x14;0x00;"call";"None";0x00000066
