56.320000	56.320000	BookTitle
65.990000	65.990000	1
78.200877	78.200877	2 
109.490000	109.490000	5
116.280000	116.280000	 6
139.212993	139.212993	8
161.980000	161.980000	11
179.210000	179.210000	12
209.590000	209.590000	14
232.290000	232.290000	16
262.670000	262.670000	18
300.659148	300.659148	21
316.725632	316.725632	22
333.870000	333.870000	25
357.520000	357.520000	27
379.710000	379.710000	28
397.060000	397.060000	31
417.009645	417.009645	33
442.700000	442.700000	34
468.240000	468.240000	37
488.600000	488.600000	38
518.660000	518.660000	40
530.680000	530.680000	42
